step	loss_strong
39	0.5618077516555786
79	0.5068628191947937
119	0.4768970012664795
159	0.42168837785720825
199	0.36267679929733276
239	0.30849677324295044
279	0.3160126805305481
319	0.29565900564193726
359	0.2820379436016083
399	0.28565874695777893
439	0.24753247201442719
479	0.2934360206127167
519	0.24692904949188232
559	0.2756694257259369
599	0.2309020459651947
639	0.230881929397583
679	0.2551712989807129
719	0.24292317032814026
759	0.2639945149421692
799	0.18136490881443024
839	0.18813736736774445
879	0.23057213425636292
919	0.20127660036087036
959	0.18446071445941925
999	0.18100230395793915
1039	0.19824901223182678
1079	0.197104349732399
1119	0.2257218211889267
1159	0.18151582777500153
1199	0.1872033327817917
1239	0.1820022463798523
1279	0.18724267184734344
1319	0.16124556958675385
1359	0.1465246081352234
1399	0.14424818754196167
1439	0.1426348090171814
1479	0.15002073347568512
1519	0.1983390748500824
1559	0.1656782478094101
1599	0.21233531832695007
1639	0.2079734206199646
1679	0.20186375081539154
1719	0.1597450077533722
1759	0.16058401763439178
1799	0.1272832155227661
1839	0.1209220364689827
1879	0.170320525765419
1919	0.1543511003255844
1959	0.13496576249599457
1999	0.18239861726760864
2039	0.19968514144420624
2079	0.1750175952911377
2119	0.24800974130630493
2159	0.14906945824623108
2199	0.2182646244764328
2239	0.1511160135269165
2279	0.10861561447381973
2319	0.11601756513118744
2359	0.13499796390533447
2399	0.12618766725063324
2439	0.1271037757396698
2479	0.2057003527879715
2519	0.14147259294986725
2559	0.14158248901367188
2599	0.10857273638248444
2639	0.18874627351760864
2679	0.09270128607749939
2719	0.15854382514953613
2759	0.23334980010986328
2799	0.1608617752790451
2839	0.13653117418289185
2879	0.12984028458595276
2919	0.13962818682193756
2959	0.12964236736297607
2999	0.15955288708209991
3039	0.1291593760251999
3079	0.09566078335046768
3119	0.16497792303562164
3159	0.12437430024147034
3199	0.09730994701385498
3239	0.11484593898057938
3279	0.09409447014331818
3319	0.09603937715291977
3359	0.19345396757125854
3399	0.08693709969520569
3439	0.09773828834295273
3479	0.12870939075946808
3519	0.11551279574632645
3559	0.10385459661483765
3599	0.10219384729862213
3639	0.12125243246555328
3679	0.12860657274723053
3719	0.13036394119262695
3759	0.07612425088882446
3799	0.11376999318599701
3839	0.10860394686460495
3879	0.24720413982868195
3919	0.09826452285051346
3959	0.10864607989788055
3999	0.11012766510248184
4039	0.11793579161167145
4079	0.13160738348960876
4119	0.1325453668832779
4159	0.0800408199429512
4199	0.11025474220514297
4239	0.2167770117521286
4279	0.0631718784570694
4319	0.17140407860279083
4359	0.09025700390338898
4399	0.12029043585062027
4439	0.12778380513191223
4479	0.07984801381826401
4519	0.09817496687173843
4559	0.1036464273929596
4599	0.12896478176116943
4639	0.18918795883655548
4679	0.11273295432329178
4719	0.06521904468536377
4759	0.10158348083496094
4799	0.1358322948217392
4839	0.22968247532844543
4879	0.1011098250746727
4919	0.09083188325166702
4959	0.07923801243305206
4999	0.19533410668373108
5039	0.10868774354457855
5079	0.15983867645263672
5119	0.11703480035066605
5159	0.10179507732391357
5199	0.08488087356090546
5239	0.16216343641281128
5279	0.0930565819144249
5319	0.07846634089946747
5359	0.16168969869613647
5399	0.11965563893318176
5439	0.1283341944217682
5479	0.20371189713478088
5519	0.2562727928161621
5559	0.19624975323677063
5599	0.09797587245702744
5639	0.12744471430778503
5679	0.11568291485309601
5719	0.08588778227567673
5759	0.06725665926933289
5799	0.06585322320461273
5839	0.09046106785535812
5879	0.07857329398393631
5919	0.06266820430755615
5959	0.08858946710824966
5999	0.10024146735668182
6039	0.07924514263868332
6079	0.07717444747686386
6119	0.09673194587230682
6159	0.118119016289711
6199	0.11477462947368622
6239	0.05607539042830467
6279	0.11638271063566208
6319	0.0712832435965538
6359	0.10344585031270981
6399	0.11187578737735748
6439	0.22329486906528473
6479	0.13727013766765594
