step	total_loss
39	1.1403040885925293
79	1.0572680234909058
119	0.9908511638641357
159	0.8874974250793457
199	0.8231385946273804
239	0.7191897630691528
279	0.6840299367904663
319	0.646188497543335
359	0.6683229207992554
399	0.6193975210189819
439	0.6277544498443604
479	0.6069669127464294
519	0.5854567289352417
559	0.6122295260429382
599	0.5240166187286377
639	0.5192461013793945
679	0.5400040745735168
719	0.6498432159423828
759	0.5257472395896912
799	0.42342713475227356
839	0.4485010504722595
879	0.485647976398468
919	0.40447694063186646
959	0.37523528933525085
999	0.43693727254867554
1039	0.40672555565834045
1079	0.4381686747074127
1119	0.3628614544868469
1159	0.3577650189399719
1199	0.3944460451602936
1239	0.43113279342651367
1279	0.4224189519882202
1319	0.3339211642742157
1359	0.33560097217559814
1399	0.3742230236530304
1439	0.2902803421020508
1479	0.29127177596092224
1519	0.23221829533576965
1559	0.3387854993343353
1599	0.3716781437397003
1639	0.5059447288513184
1679	0.34677502512931824
1719	0.23280741274356842
1759	0.28708648681640625
1799	0.25935879349708557
1839	0.2518402338027954
1879	0.503625214099884
1919	0.22167503833770752
1959	0.2577188313007355
1999	0.4581754803657532
2039	0.263681024312973
2079	0.283674418926239
2119	0.49236083030700684
2159	0.2574123740196228
2199	0.3189626932144165
2239	0.23142826557159424
2279	0.2171337902545929
2319	0.1951560378074646
2359	0.34110409021377563
2399	0.18080276250839233
2439	0.4533379375934601
2479	0.2227085828781128
2519	0.15404999256134033
2559	0.19132676720619202
2599	0.23705479502677917
2639	0.47993192076683044
2679	0.20565856993198395
2719	0.2069999873638153
2759	0.3833654522895813
2799	0.4112449288368225
2839	0.46873000264167786
2879	0.18741783499717712
2919	0.22240322828292847
2959	0.19206587970256805
2999	0.27919459342956543
3039	0.46377381682395935
3079	0.14845165610313416
3119	0.1351328194141388
3159	0.1883649080991745
3199	0.13728326559066772
3239	0.20861655473709106
3279	0.1759038269519806
3319	0.14912165701389313
3359	0.18304914236068726
3399	0.1302364468574524
3439	0.15473191440105438
3479	0.2305992990732193
3519	0.13892711699008942
3559	0.10266077518463135
3599	0.15480729937553406
3639	0.16911034286022186
3679	0.13607968389987946
3719	0.13945524394512177
3759	0.14981898665428162
3799	0.1475280225276947
3839	0.10810258984565735
3879	0.2551683187484741
3919	0.17229318618774414
3959	0.11574189364910126
3999	0.13527606427669525
4039	0.13397419452667236
4079	0.3062564730644226
4119	0.23865878582000732
4159	0.08410286903381348
4199	0.16508229076862335
4239	0.2874906361103058
4279	0.10958272218704224
4319	0.2191600650548935
4359	0.4061134159564972
4399	0.23545487225055695
4439	0.15317201614379883
4479	0.10191666334867477
4519	0.23239225149154663
4559	0.12375432252883911
4599	0.3229033946990967
4639	0.6221429109573364
4679	0.2280544936656952
4719	0.11411231756210327
4759	0.22949481010437012
4799	0.48250049352645874
4839	0.2515448033809662
4879	0.23376095294952393
4919	0.15202495455741882
4959	0.1246342658996582
4999	0.21894626319408417
5039	0.08795702457427979
5079	0.16251559555530548
5119	0.12004794180393219
5159	0.17292404174804688
5199	0.13575837016105652
5239	0.5461225509643555
5279	0.12222908437252045
5319	0.10787655413150787
5359	0.20875723659992218
5399	0.13110637664794922
5439	0.2888086140155792
5479	0.2317509651184082
5519	0.2045103907585144
5559	0.20665770769119263
5599	0.08933357894420624
5639	0.11266395449638367
5679	0.11693669855594635
5719	0.10780932009220123
5759	0.11278580129146576
5799	0.09965284168720245
5839	0.42592859268188477
5879	0.14125998318195343
