step	lr
39	7.269267371157184e-06
79	7.837933480914216e-06
119	8.446181709587108e-06
159	9.096349458559416e-06
199	9.790880540094804e-06
239	1.0532325177337043e-05
279	1.1323343642288819e-05
319	1.216670534631703e-05
359	1.3065293387626298e-05
399	1.4022106370248366e-05
439	1.5040255675558e-05
479	1.6122970919241197e-05
519	1.7273599951295182e-05
559	1.8495604308554903e-05
599	1.9792563762166537e-05
639	2.11681781365769e-05
679	2.262626185256522e-05
719	2.417074574623257e-05
759	2.580567161203362e-05
799	2.7535195840755478e-05
839	2.9363583962549455e-05
879	3.129521064693108e-05
919	3.333454515086487e-05
959	3.548616950865835e-05
999	3.775475124712102e-05
1039	4.014504520455375e-05
1079	4.26619008067064e-05
1119	4.531024023890495e-05
1159	4.809505117009394e-05
1199	5.102139766677283e-05
1239	5.409438381320797e-05
1279	5.731916826334782e-05
1319	6.070094968890771e-05
1359	6.424495222745463e-05
1399	6.795640365453437e-05
1439	7.184055721154436e-05
1479	7.59026370360516e-05
1519	8.014785998966545e-05
1559	8.45814065542072e-05
1599	8.920839900383726e-05
1639	9.40339159569703e-05
1679	9.906292689265683e-05
1719	0.0001043003358063288
1759	0.0001097509084502235
1799	0.00011541930143721402
1839	0.00012131001858506352
1879	0.00012742738181259483
1919	0.00013377555296756327
1959	0.00014035847561899573
1999	0.00014717987505719066
2039	0.00015424322918988764
2079	0.00016155175399035215
2119	0.00016910838894546032
2159	0.00017691575339995325
2199	0.00018497616110835224
2239	0.00019329156202729791
2279	0.00020186355686746538
2319	0.0002106933534378186
2359	0.00021978176664561033
2399	0.00022912916028872132
2439	0.00023873549071140587
2479	0.0002486002049408853
2519	0.00025872228434309363
2559	0.000269100273726508
2599	0.00027973210671916604
2639	0.0002906152221839875
2679	0.00030174656421877444
2719	0.00031312243663705885
2759	0.0003247386193834245
2799	0.0003365902812220156
2839	0.0003486720088403672
2879	0.00036097780684940517
2919	0.0003735010395757854
2959	0.00038623446016572416
2999	0.00039917021058499813
3039	0.00041229979251511395
3079	0.00042561409645713866
3119	0.00043910337262786925
3159	0.0004527572891674936
3199	0.000466564844828099
3239	0.00048051445628516376
3279	0.0004945939290337265
3319	0.0005087905446998775
3359	0.0005230908864177763
3399	0.0005374811007641256
3439	0.0005519466940313578
3479	0.0005664726486429572
3519	0.0005810434813611209
3559	0.0005956432432867587
3599	0.0006102555198594928
3639	0.0006248633726499975
3679	0.0006394496303983033
3719	0.0006539966561831534
3759	0.0006684864056296647
3799	0.0006829006597399712
3839	0.0006972208502702415
3879	0.0007114282343536615
3919	0.0007255038362927735
3959	0.0007394286221824586
3999	0.0007531832670792937
4039	0.0007667485624551773
4079	0.0007801051833666861
4119	0.0007932338630780578
4159	0.0008061153930611908
4199	0.0008187307394109666
