step	loss_total_supervised
39	1.1405843496322632
79	1.057518720626831
119	0.9907528758049011
159	0.8875018954277039
199	0.8236533999443054
239	0.7199170589447021
279	0.6847792863845825
319	0.647101879119873
359	0.6687096357345581
399	0.620333194732666
439	0.6270142197608948
479	0.6067826747894287
519	0.5858840942382812
559	0.6119208335876465
599	0.5240744948387146
639	0.5192829370498657
679	0.5400579571723938
719	0.6501631736755371
759	0.5256438851356506
799	0.42400118708610535
839	0.4478820562362671
879	0.4859101176261902
919	0.4078993499279022
959	0.37711602449417114
999	0.4343714118003845
1039	0.41352367401123047
1079	0.435865581035614
1119	0.365323007106781
1159	0.3618318438529968
1199	0.39881631731987
1239	0.42815297842025757
1279	0.41113153100013733
1319	0.34029966592788696
1359	0.3362496495246887
1399	0.38144633173942566
1439	0.29566630721092224
1479	0.2888457179069519
1519	0.24927738308906555
1559	0.32814449071884155
1599	0.3704490065574646
1639	0.4883435070514679
1679	0.3450368642807007
1719	0.25769612193107605
1759	0.28239375352859497
1799	0.2557711601257324
1839	0.2671273350715637
1879	0.49418509006500244
1919	0.22349287569522858
1959	0.2822142541408539
1999	0.4377507269382477
2039	0.2645815312862396
2079	0.27185821533203125
2119	0.4893137812614441
2159	0.23512548208236694
2199	0.3032338619232178
2239	0.2281634360551834
2279	0.19234591722488403
2319	0.1848241537809372
2359	0.3057595193386078
2399	0.2054303139448166
2439	0.44195759296417236
2479	0.21204902231693268
2519	0.14044833183288574
2559	0.18797731399536133
2599	0.20964950323104858
2639	0.4796469211578369
2679	0.20174239575862885
2719	0.20409411191940308
2759	0.36664021015167236
2799	0.4004601836204529
2839	0.49144822359085083
2879	0.16511650383472443
2919	0.21673500537872314
2959	0.19372470676898956
2999	0.29460567235946655
3039	0.43775397539138794
3079	0.176933154463768
3119	0.15979790687561035
3159	0.18022069334983826
3199	0.1476709544658661
3239	0.23837903141975403
3279	0.1850007325410843
3319	0.16624654829502106
3359	0.1651201844215393
3399	0.1431576907634735
3439	0.15054967999458313
3479	0.2634817957878113
3519	0.1371118426322937
3559	0.11928138881921768
3599	0.13811659812927246
3639	0.15916170179843903
3679	0.14535382390022278
3719	0.13107900321483612
3759	0.15214946866035461
3799	0.1497095376253128
3839	0.12494867295026779
3879	0.24096500873565674
3919	0.16873770952224731
3959	0.11375655978918076
3999	0.13489790260791779
4039	0.1371231973171234
4079	0.3159332871437073
4119	0.24621176719665527
4159	0.09517788141965866
4199	0.16318055987358093
4239	0.28493183851242065
4279	0.11049123108386993
4319	0.2523019015789032
4359	0.39873242378234863
4399	0.23856209218502045
4439	0.15703871846199036
4479	0.11393119394779205
4519	0.22761939465999603
4559	0.1283600926399231
4599	0.3132552206516266
4639	0.6266559958457947
4679	0.2503453493118286
4719	0.11072014272212982
4759	0.2140631377696991
4799	0.4638391137123108
4839	0.2579173445701599
4879	0.20599547028541565
4919	0.11350914090871811
4959	0.12761840224266052
4999	0.23075959086418152
5039	0.09315860271453857
5079	0.14226911962032318
5119	0.12728255987167358
5159	0.17816412448883057
5199	0.13996446132659912
5239	0.5576328635215759
5279	0.12261208891868591
5319	0.11937621980905533
5359	0.2410026341676712
5399	0.13381800055503845
5439	0.2975040376186371
5479	0.22589316964149475
5519	0.19628553092479706
5559	0.21855679154396057
5599	0.10184296220541
5639	0.10043159872293472
5679	0.110866978764534
5719	0.09552580118179321
5759	0.1226736381649971
5799	0.09927545487880707
5839	0.3912503123283386
5879	0.143658846616745
5919	0.1416526436805725
5959	0.10382455587387085
5999	0.4148339629173279
6039	0.41679224371910095
6079	0.12184510380029678
6119	0.09935076534748077
6159	0.39292311668395996
