step	loss_weak
39	0.5992706418037415
79	0.5728859305381775
119	0.5670349597930908
159	0.5405448079109192
199	0.5281844735145569
239	0.5024750232696533
279	0.4783611595630646
319	0.460344523191452
359	0.45704567432403564
399	0.42967531085014343
439	0.42009127140045166
479	0.40908312797546387
519	0.4031118154525757
559	0.40664955973625183
599	0.3741813600063324
639	0.39444786310195923
679	0.3942105174064636
719	0.3963095545768738
759	0.37408316135406494
799	0.3620336353778839
839	0.3659851849079132
879	0.3948718309402466
919	0.349874883890152
959	0.3301953077316284
999	0.32512035965919495
1039	0.32779210805892944
1079	0.3153848946094513
1119	0.32504943013191223
1159	0.29802143573760986
1199	0.3386837840080261
1239	0.30407431721687317
1279	0.3092246651649475
1319	0.2996053993701935
1359	0.29165759682655334
1399	0.24997413158416748
1439	0.24387946724891663
1479	0.24467067420482635
1519	0.24490909278392792
1559	0.2538423538208008
1599	0.2630622088909149
1639	0.31365448236465454
1679	0.22849130630493164
1719	0.22427727282047272
1759	0.2042364478111267
1799	0.1871548444032669
1839	0.20141829550266266
1879	0.29318323731422424
1919	0.16764746606349945
1959	0.20288661122322083
1999	0.2636951506137848
2039	0.18540020287036896
2079	0.15793941915035248
2119	0.28261274099349976
2159	0.15505486726760864
2199	0.16918335855007172
2239	0.12620297074317932
2279	0.13319607079029083
2319	0.11111283302307129
2359	0.12588851153850555
2399	0.11751910299062729
2439	0.25205767154693604
2479	0.1171293705701828
2519	0.09330414980649948
2559	0.0969771295785904
2599	0.11418019980192184
2639	0.29171353578567505
2679	0.094170942902565
2719	0.11156667768955231
2759	0.20515277981758118
2799	0.20616033673286438
2839	0.2690976560115814
2879	0.07037221640348434
2919	0.06241937354207039
2959	0.0688781589269638
2999	0.10868985950946808
3039	0.29388195276260376
3079	0.044021449983119965
3119	0.06977349519729614
3159	0.057089269161224365
3199	0.04750577732920647
3239	0.06513037532567978
3279	0.11911869794130325
3319	0.04716641455888748
3359	0.05276396498084068
3399	0.05074569582939148
3439	0.050955090671777725
3479	0.09688925743103027
3519	0.03958289697766304
3559	0.039208751171827316
3599	0.04868274927139282
3639	0.0339876264333725
3679	0.03930504620075226
3719	0.0363868847489357
3759	0.04552546516060829
3799	0.03352604806423187
3839	0.03681395575404167
3879	0.04779373109340668
3919	0.07205946743488312
3959	0.0384940579533577
3999	0.030429739505052567
4039	0.038351863622665405
4079	0.1717202067375183
4119	0.14522041380405426
4159	0.020526893436908722
4199	0.04189004376530647
4239	0.03569742664694786
4279	0.029149414971470833
4319	0.03892690688371658
4359	0.2607657015323639
4399	0.12417259812355042
4439	0.027366742491722107
4479	0.026343410834670067
4519	0.1496627777814865
4559	0.051909442991018295
4599	0.20120064914226532
4639	0.3375549614429474
4679	0.16716265678405762
4719	0.01681152731180191
4759	0.09617055952548981
4799	0.32656601071357727
4839	0.012943525798618793
4879	0.09399101883172989
4919	0.020012561231851578
4959	0.02634195238351822
4999	0.0206428412348032
5039	0.01439653243869543
5079	0.015213500708341599
5119	0.014788651838898659
5159	0.026230035349726677
5199	0.017408370971679688
5239	0.34580257534980774
5279	0.020501377061009407
5319	0.020810408517718315
5359	0.07805557548999786
5399	0.018005479127168655
