step	epoch
39	0
58	0
79	1
117	1
119	2
159	2
176	2
199	3
235	3
239	4
279	4
294	4
319	5
353	5
359	6
399	6
412	6
439	7
471	7
479	8
519	8
530	8
559	9
589	9
599	10
639	10
648	10
679	11
707	11
719	12
759	12
766	12
799	13
825	13
839	14
879	14
884	14
919	15
943	15
959	16
999	16
1002	16
1039	17
1061	17
1079	18
1119	18
1120	18
1159	19
1179	19
1199	20
1238	20
1239	21
1279	21
1297	21
1319	22
1356	22
1359	23
1399	23
1415	23
1439	24
1474	24
1479	25
1519	25
1533	25
1559	26
1592	26
1599	27
1639	27
1651	27
1679	28
1710	28
1719	29
1759	29
1769	29
1799	30
1828	30
1839	31
1879	31
1887	31
1919	32
1946	32
1959	33
1999	33
2005	33
2039	34
2064	34
2079	35
2119	35
2123	35
2159	36
2182	36
2199	37
2239	37
2241	37
2279	38
2300	38
2319	39
2359	39
2359	39
2399	40
2418	40
2439	41
2477	41
2479	42
2519	42
2536	42
2559	43
2595	43
2599	44
2639	44
2654	44
2679	45
2713	45
2719	46
2759	46
2772	46
2799	47
2831	47
2839	48
2879	48
2890	48
2919	49
2949	49
2959	50
2999	50
3008	50
3039	51
3067	51
3079	52
3119	52
3126	52
3159	53
3185	53
3199	54
3239	54
3244	54
3279	55
3303	55
3319	56
3359	56
3362	56
3399	57
3421	57
3439	58
3479	58
3480	58
3519	59
3539	59
3559	60
3598	60
3599	61
3639	61
3657	61
3679	62
3716	62
3719	63
3759	63
3775	63
3799	64
3834	64
3839	65
3879	65
3893	65
3919	66
3952	66
3959	67
3999	67
4011	67
4039	68
4070	68
4079	69
4119	69
4129	69
4159	70
4188	70
4199	71
4239	71
4247	71
4279	72
4306	72
4319	73
4359	73
4365	73
4399	74
4424	74
4439	75
4479	75
4483	75
4519	76
4542	76
4559	77
4599	77
4601	77
4639	78
4660	78
4679	79
4719	79
4719	79
4759	80
4778	80
4799	81
4837	81
4839	82
4879	82
4896	82
4919	83
4955	83
4959	84
4999	84
5014	84
5039	85
5073	85
5079	86
5119	86
5132	86
5159	87
5191	87
5199	88
5239	88
5250	88
5279	89
5309	89
5319	90
5359	90
5368	90
5399	91
5427	91
5439	92
5479	92
5486	92
5519	93
5545	93
5559	94
5599	94
5604	94
5639	95
5663	95
5679	96
5719	96
5722	96
5759	97
5781	97
5799	98
5839	98
5840	98
5879	99
5899	99
5919	100
5958	100
5959	101
5999	101
6017	101
6039	102
6076	102
6079	103
6119	103
6135	103
6159	104
6194	104
6199	105
6239	105
6253	105
6279	106
6312	106
6319	107
6359	107
6371	107
6399	108
6430	108
6439	109
6479	109
6489	109
6519	110
6548	110
6559	111
6599	111
6607	111
6639	112
6666	112
6679	113
6719	113
6725	113
6759	114
6784	114
6799	115
6839	115
6843	115
6879	116
6902	116
6919	117
6959	117
6961	117
6999	118
7020	118
7039	119
7079	119
7079	119
7119	120
7138	120
7159	121
7197	121
7199	122
7239	122
7256	122
7279	123
7315	123
7319	124
7359	124
7374	124
7399	125
7433	125
7439	126
7479	126
7492	126
7519	127
7551	127
7559	128
7599	128
7610	128
7639	129
7669	129
7679	130
7719	130
7728	130
7759	131
7787	131
7799	132
7839	132
7846	132
7879	133
7905	133
7919	134
7959	134
7964	134
7999	135
8023	135
8039	136
8079	136
8082	136
8119	137
8141	137
8159	138
8199	138
8200	138
8239	139
8259	139
8279	140
8318	140
8319	141
8359	141
8377	141
8399	142
8436	142
8439	143
8479	143
8495	143
8519	144
8554	144
8559	145
8599	145
8613	145
8639	146
8672	146
8679	147
8719	147
8731	147
8759	148
8790	148
8799	149
8839	149
8849	149
8879	150
8908	150
8919	151
8959	151
8967	151
8999	152
9026	152
9039	153
9079	153
9085	153
9119	154
9144	154
9159	155
9199	155
9203	155
9239	156
9262	156
9279	157
9319	157
9321	157
9359	158
9380	158
9399	159
9439	159
9439	159
9479	160
9498	160
9519	161
9557	161
9559	162
9599	162
9616	162
9639	163
9675	163
9679	164
9719	164
9734	164
9759	165
9793	165
9799	166
9839	166
9852	166
9879	167
9911	167
9919	168
9959	168
9970	168
9999	169
10029	169
10039	170
10079	170
10088	170
10119	171
10147	171
10159	172
10199	172
10206	172
10239	173
10265	173
10279	174
10319	174
10324	174
10359	175
10383	175
10399	176
10439	176
10442	176
10479	177
10501	177
10519	178
10559	178
10560	178
10599	179
10619	179
10639	180
10678	180
10679	181
10719	181
10737	181
10759	182
10796	182
10799	183
10839	183
10855	183
10879	184
10914	184
10919	185
10959	185
10973	185
10999	186
11032	186
11039	187
11079	187
11091	187
11119	188
11150	188
11159	189
11199	189
11209	189
11239	190
11268	190
11279	191
11319	191
11327	191
11359	192
11386	192
11399	193
11439	193
11445	193
11479	194
11504	194
11519	195
11559	195
11563	195
11599	196
11622	196
11639	197
11679	197
11681	197
11719	198
11740	198
11759	199
11799	199
11799	199
11800	200
